id,action_time,object_id,object_repr,action_flag,change_message,content_type_id,user_id
92,2025-01-27 10:07:49.515408+01,LBG-0FGUI,Glycan LBG-0FGUI,1,"[{""added"": {}}]",14,1
93,2025-01-27 10:08:28.403479+01,LBG-VKSYE,Glycan LBG-VKSYE,1,"[{""added"": {}}]",14,1
94,2025-01-27 10:09:38.544675+01,LBG-IJ45G,Glycan LBG-IJ45G,1,"[{""added"": {}}]",14,1
95,2025-01-27 10:11:33.844171+01,14,H4N3,1,"[{""added"": {}}]",15,1
96,2025-01-27 10:11:55.618533+01,LBG-9WYWD,Glycan LBG-9WYWD,1,"[{""added"": {}}]",14,1
97,2025-01-27 10:12:09.407711+01,15,H3N4F1,1,"[{""added"": {}}]",15,1
98,2025-01-27 10:12:36.165614+01,LBG-BN0V5,Glycan LBG-BN0V5,1,"[{""added"": {}}]",14,1
99,2025-01-27 10:13:06.387838+01,16,H3N3F1T1,1,"[{""added"": {}}]",15,1
100,2025-01-27 10:13:24.454439+01,LBG-UGU53,Glycan LBG-UGU53,1,"[{""added"": {}}]",14,1
101,2025-01-27 10:13:54.43639+01,LBG-R5HIJ,Glycan LBG-R5HIJ,1,"[{""added"": {}}]",14,1
